sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.0766;9.3425;3.1245;0.0761;9.571;2.1355;-0.1384;-0.3913;0.3019;0.1632;0.4205;-0.0684;31228.0;-31.14;-26.94;14.58;122.13;-77.49;-1.48;3.1;993.82;68.595;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;20 / 20;12025;2018-06-11 15:39:28:901
0.079;8.6314;3.996;-0.4646;9.5915;1.9895;-0.4548;1.3121;3.0098;0.0948;-0.4805;0.0073;33322.0;-28.92;-28.62;14.88;137.16;-77.98;13.15;3.1;993.83;57.815;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;19 / 21;12525;2018-06-11 15:39:29:401
0.34;11.6697;4.2953;-0.387;9.5681;2.1148;1.2322;2.432;1.2204;-0.9022;-0.428;0.2138;18061.0;-24.6;-31.08;20.46;145.36;-77.34;10.37;3.1;993.83;64.186;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;19 / 21;13024;2018-06-11 15:39:29:900
-0.7039;12.4119;1.9561;-0.4627;9.5926;1.9843;0.3717;3.2503;-1.2444;0.3904;-0.9337;-0.3091;27848.998;-23.88;-29.28;20.64;149.32;-78.01;13.13;3.1;993.83;62.595;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;21 / 21;13524;2018-06-11 15:39:30:400
-0.3663;12.8525;3.8931;-0.2683;9.5699;2.1249;1.0584;2.2554;0.1185;0.1192;0.189;-0.3745;6860.0;-17.7;-31.08;25.26;156.06;-77.38;7.2;3.1;993.83;60.707;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;21 / 21;14024;2018-06-11 15:39:30:900
-0.8069;10.949;4.846;-0.3694;9.4645;2.5409;-1.2491;1.5012;1.1176;-0.4819;-0.1763;0.2297;5361.0;-14.46;-32.7;24.6;163.42;-74.82;8.27;3.1;993.8;72.227;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;22 / 22;14525;2018-06-11 15:39:31:401
0.1293;7.609;1.5778;0.0594;9.3999;2.7944;-0.2126;-2.4134;-0.2086;-0.284;-0.0535;0.2437;4479.0;-12.6;-33.42;25.44;157.77;-73.44;-1.22;3.1;993.81;64.424;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;22 / 22;15024;2018-06-11 15:39:31:900
0.7063;6.8548;0.4477;-0.1087;9.449;2.6219;0.815;-2.5942;-2.1741;0.2139;0.2361;0.226;5346.0;-19.14;-32.58;22.02;153.47;-74.4;7.24;3.1;993.84;67.192;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;21 / 21;15524;2018-06-11 15:39:32:400
-0.9122;7.1397;1.8029;-0.5255;9.6272;1.7917;-0.6501;-2.6192;0.4732;-0.2693;0.0198;-0.1313;3502.0;-15.24;-32.04;26.1;168.48;-79.02;16.35;3.1;993.83;55.094;23.027018;72.53848;50.22;NaN;;0.0;38.709675;;21 / 21;16024;2018-06-11 15:39:32:900
-1.0894;6.5076;3.601;-0.0407;9.6641;1.6652;-0.6393;-2.4717;0.267;-0.3628;0.6771;0.0794;3670.0;-15.36;-29.88;27.0;155.91;-80.22;1.4;3.1;993.84;71.569;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;16525;2018-06-11 15:39:33:401
0.9386;7.8317;1.5467;-0.0172;9.6848;1.5408;1.8058;-1.1277;-1.4929;-0.2864;-0.7853;0.1283;3432.0;-15.12;-30.42;28.32;155.7;-80.96;0.64;3.1;993.84;60.48;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;17024;2018-06-11 15:39:33:900
-0.6249;10.518;3.9458;-0.3962;9.6619;1.6313;-1.7227;1.1578;1.2346;0.0874;-0.3437;-0.0226;3201.0;-12.24;-31.98;28.32;176.26;-81.0;18.89;3.1;993.79;59.365;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;17525;2018-06-11 15:39:34:401
-2.4206;11.1813;7.1206;-0.1113;9.7407;1.1302;0.0921;3.3896;-2.1215;-0.6267;-0.0914;-0.3115;3481.0;-10.86;-30.18;29.76;166.82;-83.35;5.62;3.1;993.73;54.874;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;18024;2018-06-11 15:39:34:900
0.1796;11.9235;2.854;-0.2647;9.7459;1.0569;1.0069;2.326;0.0205;-0.2992;-0.6961;0.2309;3723.0;-7.38;-30.18;30.6;181.22;-83.62;14.06;3.1;993.73;63.213;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;18524;2018-06-11 15:39:35:400
-0.1413;12.8405;3.0359;-0.0805;9.7788;0.7334;-0.0608;3.0617;2.3025;0.1027;-0.4921;-0.1313;4029.0;-4.32;-29.22;33.96;179.58;-85.69;6.26;3.1;993.74;70.181;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;19025;2018-06-11 15:39:35:901
0.5674;10.7216;0.4429;-0.1339;9.7678;0.8619;0.7133;0.2092;-1.3168;0.0068;0.2984;0.1197;3715.0;6.36;-29.1;33.6;197.61;-84.9;8.83;3.1;993.73;67.728;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;19524;2018-06-11 15:39:36:400
-0.3735;9.2347;1.5922;-0.302;9.557;2.178;-0.6629;-0.2935;-0.6504;-0.1758;-0.2111;0.022;4790.0;5.04;-33.18;29.16;194.43;-77.04;7.89;3.1;993.74;65.806;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;20024;2018-06-11 15:39:36:900
0.8739;7.6641;3.34;-0.2209;9.0393;3.7965;1.0948;-1.3752;-0.4565;0.121;-0.2453;0.1087;5105.0;13.14;-35.88;22.62;204.46;-68.31;5.62;3.1;993.77;69.878;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 22;20525;2018-06-11 15:39:37:401
-0.6034;8.0184;2.8109;-0.2119;9.288;3.1399;-0.3915;-1.2695;-0.329;0.0716;-0.1915;-0.003;5224.0;13.98;-33.3;24.18;205.7;-71.28;3.86;3.1;993.75;66.081;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 22;21025;2018-06-11 15:39:37:901
0.8069;8.6553;1.1109;0.1569;9.6233;1.8807;0.65;-0.968;-0.7698;0.1076;-0.7688;-0.0544;4435.0;17.88;-30.36;26.82;205.01;-78.9;-4.77;3.1;993.71;69.764;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;21525;2018-06-11 15:39:38:401
1.4246;11.301;1.1493;0.305;9.5677;2.1298;1.1196;1.7333;-0.9806;-0.3591;-0.0175;-0.0281;4697.0;19.92;-31.92;24.42;206.44;-77.33;-8.15;3.1;993.71;56.925;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;21 / 21;22025;2018-06-11 15:39:38:901
1.3336;11.799;0.1556;0.215;9.6145;1.9196;0.5991;2.1701;-0.7201;0.3806;-0.2154;0.1203;4627.0;16.74;-31.62;26.22;202.69;-78.64;-6.39;3.1;993.74;59.437;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;22524;2018-06-11 15:39:39:400
0.8476;10.5779;1.5347;0.3897;9.5302;2.279;0.8625;0.3749;-0.7012;0.132;0.0351;-0.0568;5317.0;18.42;-32.4;24.06;202.25;-76.36;-9.7;3.1;993.76;69.409;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;23024;2018-06-11 15:39:39:900
0.2394;9.6465;2.2913;0.0883;9.3673;2.9011;0.1512;0.2792;-0.6097;-0.4178;-0.4518;-0.1258;5434.0;23.28;-30.84;20.52;217.75;-73.67;-0.97;3.1;993.79;62.66;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 21;23524;2018-06-11 15:39:40:400
-0.6105;6.9985;1.9298;0.2676;9.4698;2.5339;-0.8015;-1.9494;-0.47;0.1974;-0.0431;0.0568;4207.0;30.24;-29.82;14.16;229.5;-74.69;-5.81;3.1;993.75;70.191;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 21;24024;2018-06-11 15:39:40:900
0.5052;6.6345;1.3839;0.4735;9.3706;2.8528;0.5034;-3.3729;-1.8879;0.1058;0.6069;0.1955;4766.0;23.64;-32.88;19.14;213.23;-72.85;-9.42;3.1;993.72;67.623;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;24524;2018-06-11 15:39:41:400
-0.996;8.131;2.2698;0.3476;9.5311;2.2821;-1.4873;-0.6004;2.0371;-0.0366;-0.1158;-0.0501;3380.0;22.56;-32.76;24.84;208.36;-76.38;-8.66;3.1;993.78;60.012;23.026945;72.53851;33.83;NaN;;3.15;6.451613;170.48;20 / 20;25024;2018-06-11 15:39:41:900
0.0;9.0049;-1.19;0.2585;9.6116;1.9288;-0.8571;0.2887;-1.5457;1.0679;0.4218;0.3195;3143.0;16.92;-31.26;27.72;200.26;-78.55;-7.63;3.1;993.72;62.429;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;22 / 22;25525;2018-06-11 15:39:42:401
0.2993;9.6298;1.7023;0.1348;9.586;2.0642;-1.4637;0.3766;2.9494;0.1192;-0.2765;-0.0617;3327.0;10.56;-32.1;29.76;193.81;-77.82;-3.74;3.1;993.71;58.499;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;22 / 22;26024;2018-06-11 15:39:42:900
-0.4741;10.0392;3.8979;0.2748;9.3496;2.9461;-0.7489;0.6896;0.9518;0.4766;0.153;0.1845;3558.0;0.9;-35.04;27.24;177.61;-72.44;-5.33;3.1;993.71;59.22;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;21 / 21;26524;2018-06-11 15:39:43:400
-0.565;10.894;8.7367;0.4852;9.3799;2.82;0.4821;2.0815;2.2128;-0.0427;0.4034;-0.4136;3673.0;-8.22;-33.72;27.9;160.16;-73.04;-9.76;3.1;993.7;58.39;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;21 / 21;27024;2018-06-11 15:39:43:900
1.269;11.7176;-0.3735;0.0967;9.5521;2.2178;0.3319;2.041;-0.458;0.2921;0.8591;0.3006;2978.0;-15.72;-31.02;28.62;153.48;-76.92;-2.5;3.1;993.7;63.36;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;21 / 21;27524;2018-06-11 15:39:44:400
0.3304;8.5931;4.7383;-0.0931;8.7335;4.4595;-0.0865;0.2139;1.1647;0.4069;0.4254;0.3232;3357.0;-31.5;-29.82;10.92;127.98;-62.95;1.2;3.1;993.71;57.049;23.026857;72.53849;31.85;NaN;;3.11;9.677419;245.81;21 / 21;28024;2018-06-11 15:39:44:900
